price,room_type,neighbourhood_cleansed,property_type,host_is_superhost,instant_bookable,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_30,availability_60,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,total_reviews_count,days_since_last_review,reviews_last_30_days,reviews_last_90_days,reviews_last_180_days,has_recent_reviews,review_activity_score,host_experience_years,amenities_count,distance_to_center,host_response_rate_num,host_acceptance_rate_num,days_since_first_review,review_density,price_per_person,price_per_bedroom,beds_per_person,number_of_reviews_ltm,number_of_reviews_l30d
270,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,FALSE,FALSE,3,1,1,1,3,8,0.06,1,365,30,60,90,4.38,4.43,4.57,4.29,4.57,4.71,4.29,8,2549,0,0,0,FALSE,0,11.931553730321697,31,3.226883785403545,0.75,0,4439,0.0018022077044379365,90,270,0.3333333333333333,0,0
400,Entire home/apt,Geuzenveld - Slotermeer,Entire condo,FALSE,FALSE,4,1,3,4,3,63,0.44,1,359,27,54,84,4.89,4.89,4.65,4.94,4.92,4.65,4.72,63,59,0,1,1,FALSE,0.5,11.931553730321697,56,7.754040600596549,1,1,4366,0.014429683921209345,100,133.33333333333334,1,3,0
208,Entire home/apt,Westerpark,Entire condo,FALSE,FALSE,2,1.5,1,1,4,47,0.32,1,177,27,57,87,4.96,4.98,4.94,4.96,4.98,4.68,4.77,47,119,0,0,2,FALSE,0.3333333333333333,12.580424366872005,52,4.490253490360836,0.8,0.14,4439,0.010587970263572877,104,208,0.5,3,0
233,Entire home/apt,Westerpark,Entire rental unit,FALSE,FALSE,5,1,2,1,2,11,0.37,1,316,14,29,46,4.91,5,4.73,4.91,5,4.64,4.64,11,109,0,0,4,FALSE,0.6666666666666666,12.177960301163587,46,3.558399801778789,1,0.5,981,0.011213047910295617,46.6,116.5,0.2,5,0
338,Entire home/apt,Centrum-Oost,Entire rental unit,FALSE,FALSE,4,1,2,2,2,55,0.39,2,6,1,6,6,4.62,4.56,4.38,4.83,4.73,4.81,4.3,55,260,0,0,0,FALSE,0,13.034907597535934,53,1.997245674272567,0.86,0.69,4277,0.012859480944587328,84.5,169,0.5,1,0
120,Entire home/apt,Centrum-Oost,Entire condo,FALSE,FALSE,2,1.5,1,1,2,17,0.13,1,2,0,2,2,4.59,4.59,4.18,4.59,4.59,4.59,4.29,17,88,0,1,1,FALSE,0.5,12.10403832991102,44,2.3643198027340047,1,0.29,3879,0.004382572828048466,60,120,0.5,3,0
162,Entire home/apt,Oud-Oost,Entire condo,FALSE,FALSE,2,1.5,1,1,2,95,0.68,1,60,2,16,46,4.85,4.94,4.85,4.95,4.98,4.71,4.68,95,47,0,2,3,FALSE,1.1666666666666667,14.38466803559206,23,1.0470336463080656,1,0.56,4256,0.022321428571428572,81,162,0.5,3,0
540,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,FALSE,FALSE,4,1,2,2,3,52,0.38,1,345,10,40,70,4.69,4.78,4.45,4.94,4.96,4.88,4.43,52,145,0,0,1,FALSE,0.16666666666666666,11.83025325119781,35,1.8968753593212975,1,0.71,4235,0.012278630460448641,135,270,0.5,3,0
225,Private room,Slotervaart,Private room in bed and breakfast,FALSE,FALSE,4,2,2,4,2,58,0.42,3,271,3,10,28,4.93,4.93,4.95,4.97,4.98,4.69,4.79,58,150,0,0,2,FALSE,0.3333333333333333,11.893223819301848,19,9.438340965535145,1,1,4250,0.013647058823529411,56.25,112.5,1,4,0
252,Entire home/apt,Centrum-West,Entire condo,FALSE,FALSE,2,1.5,0,1,3,102,0.9,1,38,2,10,11,4.92,4.9,4.87,4.98,4.99,4.96,4.83,102,16,2,6,14,TRUE,5.333333333333333,11.819301848049282,46,1.8966421594490201,1,0.93,3501,0.02913453299057412,126,252,0.5,20,2
256,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,FALSE,FALSE,3,1.5,1,2,4,86,0.68,1,17,5,17,17,4.62,4.79,4.76,4.92,4.88,4.61,4.51,86,151,0,0,1,FALSE,0.16666666666666666,11.816563997262149,38,4.57969925432881,1,0.89,3864,0.022256728778467908,85.33333333333333,256,0.6666666666666666,3,0
